trust_code,trust_name,total_attendances,within_4hrs,source_file,compliance_pct
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",55669.0,42659.0,November-2025-AE-by-provider-0Qu74-1.xls,76.63
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,36818.0,26134.0,November-2025-AE-by-provider-0Qu74-1.xls,70.98
QYG,NHS Cheshire And Merseyside Integrated Care Board,127621.0,92424.0,November-2025-AE-by-provider-0Qu74-1.xls,72.42
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,16740.0,13471.0,November-2025-AE-by-provider-0Qu74-1.xls,80.47
QWU,NHS Coventry And Warwickshire Integrated Care Board,38937.0,28965.0,November-2025-AE-by-provider-0Qu74-1.xls,74.39
QHM,NHS North East And North Cumbria Integrated Care Board,147910.0,113523.0,November-2025-AE-by-provider-0Qu74-1.xls,76.75
QJK,NHS Devon Integrated Care Board,46233.0,32356.0,November-2025-AE-by-provider-0Qu74-1.xls,69.98
QVV,NHS Dorset Integrated Care Board,27756.0,19825.0,November-2025-AE-by-provider-0Qu74-1.xls,71.43
QMF,NHS North East London Integrated Care Board,93906.0,69078.0,November-2025-AE-by-provider-0Qu74-1.xls,73.56
QNQ,NHS Frimley Integrated Care Board,34954.0,25150.0,November-2025-AE-by-provider-0Qu74-1.xls,71.95
QR1,NHS Gloucestershire Integrated Care Board,21839.0,16758.0,November-2025-AE-by-provider-0Qu74-1.xls,76.73
QOP,NHS Greater Manchester Integrated Care Board,130732.0,90278.0,November-2025-AE-by-provider-0Qu74-1.xls,69.06
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,67725.0,50838.0,November-2025-AE-by-provider-0Qu74-1.xls,75.07
QE1,NHS Lancashire And South Cumbria Integrated Care Board,76775.0,57938.0,November-2025-AE-by-provider-0Qu74-1.xls,75.46
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,26052.0,16733.0,November-2025-AE-by-provider-0Qu74-1.xls,64.23
QM7,NHS Hertfordshire And West Essex Integrated Care Board,48359.0,38759.0,November-2025-AE-by-provider-0Qu74-1.xls,80.15
QOQ,NHS Humber And North Yorkshire Integrated Care Board,68035.0,47797.0,November-2025-AE-by-provider-0Qu74-1.xls,70.25
QJ2,NHS Derby And Derbyshire Integrated Care Board,54873.0,40348.0,November-2025-AE-by-provider-0Qu74-1.xls,73.53
QKS,NHS Kent And Medway Integrated Care Board,95151.0,77758.0,November-2025-AE-by-provider-0Qu74-1.xls,81.72
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",41126.0,31533.0,November-2025-AE-by-provider-0Qu74-1.xls,76.67
QJM,NHS Lincolnshire Integrated Care Board,28944.0,22087.0,November-2025-AE-by-provider-0Qu74-1.xls,76.31
QH8,NHS Mid And South Essex Integrated Care Board,35446.0,24593.0,November-2025-AE-by-provider-0Qu74-1.xls,69.38
QMM,NHS Norfolk And Waveney Integrated Care Board,35510.0,26838.0,November-2025-AE-by-provider-0Qu74-1.xls,75.58
QMJ,NHS North Central London Integrated Care Board,73033.0,55965.0,November-2025-AE-by-provider-0Qu74-1.xls,76.63
QRV,NHS North West London Integrated Care Board,105433.0,83981.0,November-2025-AE-by-provider-0Qu74-1.xls,79.65
QPM,NHS Northamptonshire Integrated Care Board,32499.0,24622.0,November-2025-AE-by-provider-0Qu74-1.xls,75.76
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,41083.0,26918.0,November-2025-AE-by-provider-0Qu74-1.xls,65.52
QKK,NHS South East London Integrated Care Board,80321.0,61224.0,November-2025-AE-by-provider-0Qu74-1.xls,76.22
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",16199.0,9978.0,November-2025-AE-by-provider-0Qu74-1.xls,61.6
QSL,NHS Somerset Integrated Care Board,20632.0,14435.0,November-2025-AE-by-provider-0Qu74-1.xls,69.96
QWE,NHS South West London Integrated Care Board,60881.0,45178.0,November-2025-AE-by-provider-0Qu74-1.xls,74.21
QF7,NHS South Yorkshire Integrated Care Board,61274.0,44861.0,November-2025-AE-by-provider-0Qu74-1.xls,73.21
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,25334.0,16689.0,November-2025-AE-by-provider-0Qu74-1.xls,65.88
QJG,NHS Suffolk And North East Essex Integrated Care Board,32821.0,24221.0,November-2025-AE-by-provider-0Qu74-1.xls,73.8
QXU,NHS Surrey Heartlands Integrated Care Board,35116.0,24741.0,November-2025-AE-by-provider-0Qu74-1.xls,70.46
QNX,NHS Sussex Integrated Care Board,64737.0,49398.0,November-2025-AE-by-provider-0Qu74-1.xls,76.31
QUA,NHS Black Country Integrated Care Board,75543.0,56992.0,November-2025-AE-by-provider-0Qu74-1.xls,75.44
QWO,NHS West Yorkshire Integrated Care Board,95442.0,72318.0,November-2025-AE-by-provider-0Qu74-1.xls,75.77
-,-,2360536.0,1725194.0,October-2024-AE-by-provider-gAzJa-revised.xls,73.08
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",30508.0,21629.0,October-2024-AE-by-provider-gAzJa-revised.xls,70.9
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",43071.0,32442.0,October-2024-AE-by-provider-gAzJa-revised.xls,75.32
QHL,NHS Birmingham And Solihull Integrated Care Board,58668.0,43851.0,October-2024-AE-by-provider-gAzJa-revised.xls,74.74
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",36675.0,26061.0,October-2024-AE-by-provider-gAzJa-revised.xls,71.06
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",59244.0,43572.0,October-2024-AE-by-provider-gAzJa-revised.xls,73.55
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,37635.0,25150.0,October-2024-AE-by-provider-gAzJa-revised.xls,66.83
QYG,NHS Cheshire And Merseyside Integrated Care Board,128623.0,92993.0,October-2024-AE-by-provider-gAzJa-revised.xls,72.3
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,18239.0,13494.0,October-2024-AE-by-provider-gAzJa-revised.xls,73.98
QWU,NHS Coventry And Warwickshire Integrated Care Board,37325.0,25431.0,October-2024-AE-by-provider-gAzJa-revised.xls,68.13
QHM,NHS North East And North Cumbria Integrated Care Board,148026.0,112259.0,October-2024-AE-by-provider-gAzJa-revised.xls,75.84
QJK,NHS Devon Integrated Care Board,44927.0,31255.0,October-2024-AE-by-provider-gAzJa-revised.xls,69.57
QVV,NHS Dorset Integrated Care Board,27008.0,19738.0,October-2024-AE-by-provider-gAzJa-revised.xls,73.08
QMF,NHS North East London Integrated Care Board,91468.0,69397.0,October-2024-AE-by-provider-gAzJa-revised.xls,75.87
